experiment_name,cv_best_epoch/NAE/overall_mean,cv_best_epoch/NAE/overall_std,cv_best_epoch/SSIM/overall_mean,cv_best_epoch/SSIM/overall_std,cv_best_epoch/NAE/Astrocyte_mean,cv_best_epoch/NAE/Astrocyte_std,cv_best_epoch/NAE/Interneuron_mean,cv_best_epoch/NAE/Interneuron_std,cv_best_epoch/NAE/Pyramidal_mean,cv_best_epoch/NAE/Pyramidal_std,cv_best_epoch/SSIM/Astrocyte_mean,cv_best_epoch/SSIM/Astrocyte_std,cv_best_epoch/SSIM/Interneuron_mean,cv_best_epoch/SSIM/Interneuron_std,cv_best_epoch/SSIM/Pyramidal_mean,cv_best_epoch/SSIM/Pyramidal_std,Robust_Score
1_baseline_unet_mse_loss_adam_20260225_115148,0.4288,0.1115,0.3426,0.0296,0.3528,0.0907,0.7085,0.3416,0.2249,0.0623,0.3289,0.0564,0.1824,0.0323,0.5165,0.0399,0.28560168155543875
4_shorter_unet_naecount_l1loss_adam_20260225_123056,0.2554,0.05,0.2316,0.0153,0.383,0.1508,0.1996,0.0762,0.1836,0.0728,0.2018,0.0326,0.1199,0.0489,0.3732,0.0475,0.44625374074832774
2_shorter_unet_mse_loss_adam_20260225_120450,0.3348,0.0937,0.334,0.0231,0.3612,0.1262,0.3634,0.2738,0.28,0.1523,0.3336,0.0587,0.1756,0.022,0.4928,0.0424,0.47747108342165656
3_shorter_unet_naecount_mse_loss_adam_20260225_121637,0.2346,0.0267,0.2233,0.019,0.3141,0.1023,0.2287,0.0742,0.1609,0.034,0.1995,0.0541,0.1264,0.0359,0.3441,0.0646,0.4925847457627119
5_shorter_unet_naecount_normalizedl1loss_adam_20260225_124428,0.2378,0.0563,0.3448,0.0351,0.3423,0.1465,0.2129,0.0568,0.1584,0.0219,0.3262,0.0702,0.1966,0.0605,0.5117,0.0646,0.7116063025671626
7_shorter_unet_normalizedgame_classnormalizedl1loss_adam_20260225_131511,0.2578,0.0829,0.4038,0.0398,0.3631,0.1429,0.2175,0.0923,0.1929,0.0722,0.3176,0.0779,0.3813,0.0672,0.5127,0.054,0.7720017605267924
6_shorter_unet_normalizedgame_normalizedl1loss_adam_20260225_130007,0.2226,0.0451,0.3575,0.0313,0.3238,0.1311,0.1895,0.0443,0.1544,0.0338,0.329,0.0632,0.2189,0.0897,0.5247,0.0468,0.8015690732147576
8_shorter_unet_normalizedgame_asymclassnormalizedl1loss_adam_20260225_133028,0.2267,0.0304,0.4028,0.0344,0.3232,0.1298,0.2085,0.0525,0.1483,0.0246,0.318,0.0595,0.3808,0.0898,0.5096,0.0526,0.931161324224908
9_shorter_unet_normalizedgame_asymclassnormalizedl1loss_adamw_20260225_134652,0.2304,0.0419,0.4153,0.0207,0.3265,0.1381,0.2039,0.0477,0.1608,0.0387,0.3296,0.0613,0.3853,0.089,0.5311,0.0354,0.9731638418079096
